"Area","Country code","Year","Area type","Continent","Ember region","EU","OECD","G20","G7","Category","Subcategory","Variable","Unit","Value","YoY absolute change","YoY % change"
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Clean","GW",9.71,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Fossil","GW",11.28,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Gas and Other Fossil","GW",10.9,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Hydro, Bioenergy and Other Renewables","GW",8.68,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Renewables","GW",8.69,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Wind and Solar","GW",0.01,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Bioenergy","GW",0.07,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Coal","GW",0.38,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Gas","GW",10.47,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Hydro","GW",8.61,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Nuclear","GW",1.02,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Fossil","GW",0.43,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Renewables","GW",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Solar","GW",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Wind","GW",0.01,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand","Demand","TWh",86.47,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand per capita","Demand per capita","MWh",2.33,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","%",40.92,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","%",59.09,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","%",57.12,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","%",33.84,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","%",33.89,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","%",0.05,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","TWh",34.88,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","TWh",50.37,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","TWh",48.69,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","TWh",28.85,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","TWh",28.89,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","TWh",0.04,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","%",0.42,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","%",1.97,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","%",53.94,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","%",33.42,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","%",7.03,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","%",3.18,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","%",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","%",0,NA,NA
"Argentina","ARG",2000,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","%",0.05,NA,NA
